el] pico RMS=6777 (-13.7 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:48 ubuntus eqso-relay-[36103]: [audio] 2026-04-30T07:58:48.501Z [nivel] pico RMS=6784 (-13.7 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:48 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:48.610Z [raw-rx #2] 1b: 0c
Apr 30 07:58:53 ubuntus eqso-relay-[36103]: [audio] 2026-04-30T07:58:53.502Z [nivel] pico RMS=6729 (-13.8 dBFS)  VOXumbral=800  gain=0.15
Apr 30 07:58:54 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:54.475Z PTT liberado [0x0d]
Apr 30 07:58:54 ubuntus eqso-relay-[36103]: [main] 2026-04-30T07:58:54.478Z VOX: PTT liberado \Uffffffff fin transmision (suppress hasta 2026-04-30T07:58:56.977Z)
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.267Z [raw-tx ptt] 1b: 09
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.268Z PTT anunciado [0x09]
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [main] 2026-04-30T07:58:57.268Z VOX: PTT activado \Uffffffff inicio transmision (suppress was 2026-04-30T07:58:56.977Z)
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.289Z [raw-tx ptt] 34b: 01d661a29d236c20492392491ba5d536db87d743506f0249292492a0b536db6ec624
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.290Z [raw-tx ptt] 34b: 01d7a2829d1aaa6b00090000018757bf1c6a36db956c7d24924936d1159f2951b99c
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.314Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.330Z [raw-tx ptt] 34b: 01d7a582a12168d5892692d0db76b5599c9034fcaeb548cc7dc90365936364986564
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.330Z [raw-tx ptt] 34b: 01d721a3b5746176bed8b23b5ac4b31cfb928574a6b5bb8bb9acfebb1083343e53df
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.353Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.378Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.392Z [raw-tx ptt] 34b: 01d6e1a378f5b515769d71c753caf464ebe5d8de9fb21f1b6dd324810f0978e63a9f
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.393Z [raw-tx ptt] 34b: 01d6e1a37cf681ceb954903c64678c68c7e568638189f06859e75b818a88d56a3caa
Apr 30 07:58:57 ubuntus eqso-relay-[36103]: [eqso] 2026-04-30T07:58:57.415Z [raw-tx ptt] 34b: 01d820a2e15a50004924924924500049249249245000492492492450004924924924
