sudo journalctl -u eqso-relay@CB -f | grep -E "RAW 0x|Mensaje"
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f454100
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f45410001d7ac90a1a3c0c346723149f45ec3251ef2daaaaa82b08ce83854af255b766e412301d6e56929d254c21c
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [eqso] 2026-04-27T19:55:01.290Z Mensaje del servidor: R-DAVID_EAW,!#@CFr1It^C%rZ**0h8T/%[vnA#Ve
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [main] 2026-04-27T19:55:01.290Z Mensaje servidor: R-DAVID_EAW,!#@CFr1It^C%rZ**0h8T/%[vnA#Ve
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f454100
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f45410001d6eac19828a48c308d32c97fb8cde8946641dbe4cce5a28f4bbcb52e355e6f216801d861ec1c20ef0cdc
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [eqso] 2026-04-27T19:55:01.601Z Mensaje del servidor: R-DAVID_EAVjA($02I8MhfA[dLe"K<5.5^o!hXa
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [main] 2026-04-27T19:55:01.601Z Mensaje servidor: R-DAVID_EAVjA($02I8MhfA[dLe"K<5.5^o!hXa
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f454100
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x0b tlen=48] 0b30522d44415649445f45410001d55dc5088b92eb7b14c9a3b2dc482e62a8e3e4c8ac4329b5a09154cb6537b656ac01d3e5db0555ae8ba5
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [eqso] 2026-04-27T19:55:01.749Z Mensaje del servidor: R-DAVID_EAU]Ek{I#2\H.b(cdH,C)5 TKe76V,Se
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [main] 2026-04-27T19:55:01.749Z Mensaje servidor: R-DAVID_EAU]Ek{I#2\H.b(cdH,C)5 TKe76V,Se
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
abr 27 19:55:01 ubuntus eqso-relay-CB[1596]: [parser] [RAW 0x16 count=109] 166d2c3b729aa6b57fd26b96c10838c66954d301d4dea2855ec2881b6b52f917792b4f5e6a96dbb90674c2365ac3ba87e7a3f716d901d56390c664c1
